id,time,changetime,reporter,summary,status,owner,type,component
1,2005-07-13 12:03:27,2012-05-20 08:12:37,adrian,Create architecture for anonymous sessions,closed,jacob,enhancement,Core (Other)
2,2005-07-13 12:04:45,2007-07-03 16:04:18,anonymous,Calendar popup - next/previous month links close the popup in Safari,closed,jacob,defect,contrib.admin
3,2005-07-13 12:06:09,2007-07-03 16:04:08,adrian,Convert OneToOne to be like ForeignKey and ManyToManyField,closed,adrian,enhancement,Metasystem
4,2005-07-13 12:08:10,2005-09-16 10:01:24,adrian,Add a db cache backend,closed,jacob,enhancement,Core (Cache system)
5,2005-07-13 12:08:56,2007-02-25 09:31:18,adrian,Add a cache=NUM_SECONDS argument to QuerySet,closed,adrian,enhancement,Metasystem
6,2005-07-13 12:13:41,2006-10-07 14:25:13,adrian,Remove has_related_links option from models,closed,adrian,defect,Metasystem
7,2005-07-13 12:14:41,2007-07-03 16:04:26,wilson,Patch: Changelist date range filters don't maintain state as expected,closed,adrian,defect,contrib.admin
8,2005-07-13 12:15:25,2007-07-03 16:03:55,adrian,Date and time fields should accept multiple formats,closed,jacob,defect,contrib.admin
10,2005-07-13 12:16:42,2007-01-19 09:00:10,adrian,Ordered objects should have API access to their order number,closed,adrian,task,Validators
11,2005-07-13 12:17:13,2007-07-03 16:03:30,adrian,replaces_module should handle &#34;admin&#34; more intelligently,closed,adrian,defect,Metasystem
12,2005-07-13 12:19:38,2007-07-03 16:03:44,adrian,Add metasystem database-check functionality,closed,adrian,,Metasystem
13,2005-07-13 12:20:21,2011-09-07 22:35:18,adrian,Related objects interface should be tighter (edit_inline),closed,barbuza,New feature,contrib.admin
14,2005-07-13 12:20:55,2008-01-14 10:07:24,adrian,PIE-IN-THE-SKY: Add spell-check capability to admin textareas,closed,adrian,defect,contrib.admin
15,2005-07-13 12:22:11,2006-08-29 03:03:03,adrian,Metasystem unique_together doesn't work for an object that's related inline,closed,adrian,defect,Metasystem
16,2005-07-13 12:24:03,2007-05-30 14:27:58,adrian,"Create some form of ""edit many at once"" feature for the admin",closed,adrian,,contrib.admin
